company,company_type,industry,role_title,location,exp_total_yrs,exp_ai_yrs,difficulty,difficulty_reason,key_skills,ats_system,interview_rounds,comp_lpa_range,remote_policy,job_url,status,your_match_pct,priority,date_added,notes
Turgon AI,Startup,Legacy IT Modernization,Generative AI Engineer,New Delhi,3-6,1-2,3-Hard,Founding team coding bar; database/system modernization design,"Python, SQL, LangGraph, Snowflake, Airflow, Dagster",Custom,4,20-35 LPA,Hybrid,https://turgon.ai/,Open,85%,High,2026-08-19,CP Delhi office; agentic data mapping; fits your ERP data integration background
Deccan AI,Product/Startup,AI Training Data/RLHF,AI/ML Engineer,Hyderabad/Bengaluru,2-5,1-2,3-Hard,Series A funded startup standards; focus on LLM fine-tuning,"Python, RLHF, LLM Fine-Tuning, Agentic Workflows, PyTorch",Custom,4,20-35 LPA,Hybrid,https://deccan.ai,Open,82%,High,2026-08-19,Highly funded Series A ($25M); building RLHF and eval data engines
KPI Partners,IT Services,Technology Consulting,AI/ML Engineer (GenAI),Bengaluru/Hyderabad,3-6,1-2,2-Medium,SQL/Data screening + FastAPI/Docker coding validation,"Python, FastAPI, RAG, Snowflake Cortex, Kubernetes, Docker",Custom,3,15-25 LPA,Hybrid,https://www.kpipartners.com/careers,Open,85%,High,2026-08-19,Snowflake/Databricks partner; high demand for Snowflake Cortex RAG developers
ProCodebase AI,Startup/Consulting,HR-Tech/AI Services,Fullstack Python + AI Engineer,Bengaluru,4-7,1-2,2-Medium,Consulting technical evaluation + MVP build speed test,"Python, React, TypeScript, GenAI, API Integrations",Custom,3,15-25 LPA,Hybrid,https://procodebase.com/jobs,Open,80%,High,2026-08-19,Sarjapur Road office; builds internal products (Modus/Kiosq) and client AI MVPs
TE Connectivity,GCC,Industrial/Sensors,ML Engineer II,Bengaluru,3-5,1-2,3-Hard,Structured industrial GCC process; math + pipeline engineering rounds,"Python, PyTorch, scikit-learn, Databricks, PySpark, model deployment",Custom,4,20-32 LPA,Hybrid,https://www.te.com/global-en/about-te/careers.html,Open,82%,High,2026-08-19,Excellent GCC target; strong engineering infrastructure; Databricks/Spark integration focus
Supervity,Startup/Product,Automation/SaaS,Forward Deployed AI Engineer,Hyderabad/Mumbai,3-5,1-2,2-Medium,Startup speed test; enterprise API integration case study,"Python, LangChain, OpenAI APIs, RAG, REST APIs, TypeScript",Custom,3-4,18-28 LPA,Hybrid,https://www.supervity.ai/careers,Open,85%,High,2026-08-19,Builds 'AI Employees' (Orchestrator/Operator agents); matches agentic focus
CGI India,MNC/Consulting,IT Services,Python AI Developer (Early Career),Bengaluru/Hyderabad,0-3,0.5-1,2-Medium,Standard MNC technical evaluation; Python/Data structure screening,"Python, NumPy, Pandas, TensorFlow, RAG, AWS Bedrock, LangChain",Custom,3-4,15-24 LPA,Hybrid,https://www.cgi.com/en/careers,Open,82%,High,2026-08-19,Excellent target; active 0-3 yr Python AI Developer track; hybrid (3 days in office)
Apex Group,GCC,Financial Services/FinTech,AI Innovation Senior Associate,Pune,3-5,1-2,3-Hard,Financial compliance & predictive ML modeling validation,"Python, TensorFlow, PyTorch, Cloud AI, Statistical Modeling",Workday,4,18-28 LPA,Hybrid,https://www.apexgroup.com/,Open,75%,Medium-High,2026-08-19,Fintech AI; based in Pune; focuses on model training and deployment strategy
Kiprosh,Product/Consulting,Legal Tech / Software,AI Software Engineer (Early Career),Mumbai,0-2,0.5-1,2-Medium,Remote engineering standards; clean coding task,"Python, React, Node.js, Ruby on Rails, LLM API integration",Custom,3,15-25 LPA,Remote,https://kiprosh.com/careers,Open,88%,High,2026-08-19,Remote-first culture; merged with US-based LawLytics (Super Scale Labs); perfect early-career match
Circles,Product/SaaS,Telecommunications,Senior Software Engineer (AI),Bengaluru,4-6,1-2,3-Hard,Scale architecture design + LLM deployment task,"Python, LLMs, RAG, MLOps, AWS, Vector Databases",Custom,4,20-35 LPA,Hybrid,https://www.circles.co/,Open,80%,High,2026-08-19,Circles.Life digital telco brand; active AI platform engineering scaling
Tata IQ,GCC/Enterprise,Conglomerate/Analytics,Data Scientist / ML Engineer,Bengaluru,2-5,1-2,3-Hard,Tata group technical screening; math + big data engineering rounds,"Python, Spark ML, Advanced Statistics, Custom Model Training, Tableau",Custom,3-4,15-28 LPA,Hybrid,https://www.tataiq.com/,Open,78%,High,2026-08-19,Tata Insights and Quants; based in Kadubeesanahalli; strong corporate stability
