company,company_type,industry,role_title,location,exp_total_yrs,exp_ai_yrs,difficulty,difficulty_reason,key_skills,ats_system,interview_rounds,comp_lpa_range,remote_policy,job_url,status,your_match_pct,priority,date_added,notes
Hasura,Product,API/Dev Tools,AI/ML Engineer,Bengaluru/Remote,2-4,1-2,3-Hard,Very technical OSS company; OSS contributors valued,"GraphQL, Python, AI integrations, OSS, APIs",Lever,4-5,25-45 LPA,Remote,https://hasura.io/careers/,Unknown,70%,Medium,2026-08-19,Spring AI OSS contribution is a big plus here
HARMAN International (Samsung),GCC,Audio/Automotive,AI Engineer,Bengaluru,2-5,1-3,3-Hard,Samsung GCC; auto+audio AI; structured process,"Python, LangGraph, multi-agent, edge AI, C++",Workday,5,20-38 LPA,Hybrid,https://careers.harman.com/,Unknown,75%,Medium,2026-08-19,Agentic AI focus in automotive; strong match
Accenture AI,Consulting,Consulting,AI Engineer GenAI Practice,Bengaluru/Hyderabad,1-3,0.5-1,1-Easy,Large volume; low bar; fast onboarding; consulting model,"Python, LangChain, RAG, prompt engineering",Workday,3-4,12-22 LPA,Hybrid,https://www.accenture.com/in-en/careers,Open,85%,Low,2026-08-19,Safety net; good for exp but low comp ceiling
Cognizant GenAI,Consulting,Consulting,GenAI Engineer,Hyderabad/Chennai,1-3,0.5-1,1-Easy,Similar to Accenture; project-based delivery,"Python, LangChain, LLM APIs, prompt engineering",Workday,3,10-20 LPA,Hybrid,https://careers.cognizant.com/,Open,80%,Low,2026-08-19,Safety net option; below market comp
TCS AI/GenAI,Consulting,Consulting,AI Developer,Pan India,0-3,0-1,1-Easy,Massive volume hiring; lowest bar; mass onboarding,"Python, basic ML, LLM APIs, prompt engineering",Custom,2-3,8-18 LPA,Hybrid,https://ibegin.tcs.com/,Open,75%,Low,2026-08-19,Last resort; comp very low; avoid unless needed
Infosys Topaz AI,Consulting,Consulting,AI Engineer,Pan India,0-3,0-1,1-Easy,Infosys GenAI wing; volume hiring; structured training,"Python, GenAI, RAG, basic LangChain",Custom,3,8-18 LPA,Hybrid,https://careers.infosys.com/,Open,75%,Low,2026-08-19,Topaz brand growing but comp remains low
Siemens India,GCC,Industrial/Manufacturing,AI Solution Engineer / Architect,Pune,3-6,1-3,3-Hard,Workday screening; system design + Agentic/MCP coding round,"Python, RAG, LangGraph, AutoGen, MCP Servers",Workday,5,20-35 LPA,Hybrid,https://jobs.siemens.com/careers,Unknown,70%,High,2026-08-19,Active Job ID: 517785; excellent match for your MCP & LangGraph skills
Optum (UHG),GCC,Healthcare AI,AI/ML Engineer,Hyderabad,2-5,1-2,3-Hard,Healthcare compliance; structured process; HIPAA aware,"Python, ML pipelines, NLP, HIPAA, cloud AI",Workday,5,20-35 LPA,Hybrid,https://careers.unitedhealthgroup.com/,Unknown,75%,Medium,2026-08-19,Healthcare domain aligns with Healthray internship
Microsoft India,GCC/Product,Cloud/AI,Software Engineer AI,Hyderabad,3-6,1-3,4-VeryHard,FAANG-level bar; design rounds; global competition,"Python, Azure AI, LLM, multi-agent, system design",Workday,6-7,35-80 LPA,Hybrid,https://careers.microsoft.com/,Unknown,70%,Low,2026-08-19,Targeting Azure AI or Copilot teams; bar very high for now
Google India (DeepMind/Cloud AI),GCC/Product,AI Research/Cloud,Software Engineer ML,Hyderabad/Bengaluru,4-8,2-4,5-Elite,FAANG elite bar; research + engineering; DSA+ML heavy,"Python, TensorFlow/JAX, ML research, system design, LLM",Custom,7-8,50-120 LPA,Hybrid,https://careers.google.com/,Unknown,50%,Low,2026-08-19,Aspirational; revisit with 2+ more yrs
Amazon India (Alexa/Bedrock),GCC/Product,Cloud/AI,Applied Scientist / AI Engineer,Hyderabad/Bengaluru,3-6,1-3,4-VeryHard,Amazon loop; LP rounds; technical depth,"Python, AWS Bedrock, RAG, LLMs, system design",Custom,6-7,40-90 LPA,Hybrid,https://www.amazon.jobs/,Unknown,70%,Low,2026-08-19,AWS Bedrock experience helps; but bar still high
Adobe India,GCC/Product,Creative/AI,AI Engineer GenAI,Bengaluru/Noida,3-6,1-3,4-VeryHard,Strong product + research culture; Firefly/Sensei teams,"Python, GenAI, diffusion models, multimodal, LLM",Workday,5-6,30-70 LPA,Hybrid,https://careers.adobe.com/,Unknown,60%,Low,2026-08-19,Creative AI domain mismatch; not ideal
PhonePe,Product,FinTech,AI/ML Engineer,Bengaluru,2-5,1-2,3-Hard,Fast-scaling fintech; strong eng culture; payments AI,"Python, RAG, ML, LLM, payments fraud",Lever,4-5,25-45 LPA,Hybrid,https://careers.phonepe.com/,Unknown,70%,Medium,2026-08-19,Good product culture; finance AI angle
Postman,Product,Dev Tools,AI Engineer,Bengaluru,2-4,1-2,3-Hard,Technical product company; strong eng DNA,"API AI, Python, LLM integration, RAG, developer tooling",Greenhouse,4-5,25-45 LPA,Hybrid,https://www.postman.com/careers/,Unknown,70%,Medium,2026-08-19,Dev-tools AI niche; interesting but not primary target
PayPay / Paytm AI,Product,FinTech,AI Engineer,Noida/Bengaluru,1-3,0.5-2,2-Medium,Indian fintech; AI push underway; mid-level bar,"Python, NLP, LLM, RAG, payment workflows",Custom,3-4,15-28 LPA,Hybrid,https://careers.paytm.com/,Unknown,72%,Medium,2026-08-19,Accessible level; payment domain AI
Zendesk India,GCC,CX/SaaS,AI Engineer,Bengaluru,2-4,1-2,3-Hard,CX AI; agent-assist workflows; strong product culture,"Python, LangChain, NLP, RAG, CRM integrations",Greenhouse,4-5,25-45 LPA,Hybrid,https://jobs.zendesk.com/,Unknown,78%,Medium,2026-08-19,Good domain overlap with ERP CRM agent work
Autodesk,Product,CAD/PLM/Design,Senior Generative AI Engineer,Bengaluru,6+,3+,4-VeryHard,Senior-only; 6+ yr bar; no associate level available,"LLM evaluation, RAG, Python, AWS, LangGraph",Workday,5-6,40-70 LPA,Hybrid,https://autodesk.wd1.myworkdayjobs.com/Ext,Open,70%,Low,2026-08-19,No entry/mid level now; revisit in 1-2 yrs
Ford Pro Intelligence,GCC,Automotive/AI,AI Engineer,Chennai,2-4,1-2,3-Hard,Agentic AI focus; good match; Chennai location constraint,"Agentic AI, Python, RAG, multi-agent, automotive data",Greenhouse,4-5,22-38 LPA,Hybrid,https://www.ford.com/careers/,Unknown,80%,Medium,2026-08-19,Strong role match; Chennai may be constraint
Amazon Alexa AI,GCC/Product,Conversational AI/Cloud,"Software Dev Engineer, Alexa AI",Bengaluru,2+,0.5-2,3-Hard,Amazon loop (LP + coding); low entry bar for SDE,"Python, ML Tools, Distributed Systems, GenAI",Custom,6,35-50 LPA,Hybrid,https://www.amazon.jobs/en/jobs/10455043/software-dev-engineer-alexa-ai,Open,80%,High,2026-08-19,"Excellent FAANG entry point; matches ERP scale, prep DSA"
NVIDIA Local AI,Product,Semiconductors/Hardware,System Software Engineer - Local AI,Pune,2+,2+,4-VeryHard,C++ and CUDA mandatory; systems inference internals focus,"C++, CUDA, TensorRT, vLLM, PyTorch",Greenhouse,5-6,40-70 LPA,Hybrid,https://jobs.nvidia.com/careers/job/893396895982,Open,35%,Low,2026-08-19,Mismatch on core stack (C++/CUDA systems engineering focus)
NVIDIA DevTech,Product,Semiconductors/Hardware,AI Developer Technology Engineer,Bengaluru/Pune,Masters + 2+ yrs,2+,4-VeryHard,Masters/PhD + C++ + CUDA GPU architecture optimization,"C/C++, CUDA, Parallel Programming, Deep Learning",Greenhouse,5-6,45-80 LPA,Hybrid,https://jobs.nvidia.com/careers/job/893392069435,Open,30%,Low,2026-08-19,Research and GPU-level optimization focus; mismatch
Johnson & Johnson,GCC/Pharma,Healthcare/Pharma,Product Engineer (Data AI),Hyderabad,2-5,1-2,3-Hard,Healthcare compliance & digital product bar,"Python, GenAI, Cloud Computing, Automation",Custom,4,25-38 LPA,Hybrid,https://www.careers.jnj.com/,Open,82%,High,2026-08-19,"Good target; matches ERP experience, clinical domain overlap"
Mastercard,GCC/Finance,Payments,Senior AI Engineer,Pune,3-5,1-2,3-Hard,Financial security standard; multi-agent interview focus,"LangGraph, CrewAI, AutoGen, Python, async programming",Workday,5,35-50 LPA,Hybrid,https://www.mastercard.com/careers,Open,88%,High,2026-08-19,Top target; exact match for multi-agent/LangGraph stack
JPMorgan Chase,GCC/Finance,Banking,Senior Associate - Applied AI/ML,Bengaluru,2-5,1-2,3-Hard,Large GCC process; system design and coding evaluation,"Python, Java, RAG, LangGraph, Responsible AI",Workday,5,40-60 LPA,Hybrid,https://www.jpmorganchase.com/careers,Open,85%,High,2026-08-19,High priority; matches Python/Java background & red teaming
Neuron7.ai,Startup/Product,SaaS/Customer Ops,Senior AI Solutions Engineer / FDE,Bengaluru,4-6,2+,3-Hard,Fast startup technical bar; customer-facing design,"Python, FastAPI, LangGraph, CrewAI, RAG, Kubernetes",Greenhouse,4,28-38 LPA,Hybrid,https://neuron7.ai/careers,Open,88%,High,2026-08-19,Excellent match; their service-agent models overlap with your work
Eli Lilly,GCC/Pharma,Healthcare/Pharma,Data Engineer - AI & Agentic Solutions,Bengaluru,2-4,1-2,3-Hard,Pharma GCC compliance; technical Databricks validation,"Python, SQL, Databricks, Delta Lake, PySpark",Workday,4,28-42 LPA,Hybrid,https://careers.lilly.com,Open,78%,High,2026-08-19,Strong GCC target; healthray internship supports this well
ValGenesis,Product,Life Sciences,Software Engineer (AI/ML),Chennai/Hyderabad,2-4,1-2,3-Hard,100% onsite requirement; niche GxP compliance domain,"Python, PyTorch, Azure, SDLC, GxP Validation",Custom,4,18-32 LPA,Onsite,https://valgenesis.com/careers,Open,78%,Medium-High,2026-08-19,Requires 5 days onsite; niche domain but stable product
TestMu AI (LambdaTest),Product/Startup,Developer Tools,AI Quality Engineer,Noida,2-7,1-2,3-Hard,AI-native test orchestration; non-deterministic evaluation,"Python, LLM Evaluation, Agentic AI, Test Automation",Greenhouse,4,25-40 LPA,Hybrid,https://lambdatest.com,Open,80%,High,2026-08-19,Pivoting to agentic testing; matches validation/red-teaming skills
Equinix India,GCC/Product,Data Centers,Associate Software Engineer - AI/ML,Bengaluru,1-2+,1+,3-Hard,Infrastructure scale; MCP and multi-agent ecosystem evaluation,"Python, LangChain, LangGraph, AWS Bedrock, MCP",Workday,4-5,22-35 LPA,Hybrid,https://www.equinix.com/careers,Open,85%,High,2026-08-19,Excellent match; your research on Model Context Protocol is a direct fit
Apple India,Product,Consumer Tech/AI,AI/ML Software Engineer (IS&T),Hyderabad/Bengaluru,3-4+,2+,5-Elite,Extremely high technical bar; global competition; DSA heavy,"Python, RAG, PyTorch, LLM Fine-Tuning, Spark",Custom,6-7,50-85 LPA,Hybrid,https://jobs.apple.com/,Open,70%,Low,2026-08-19,IS&T / Apple Intelligence team targets; long-term goal; prep DSA
Komodo Health,GCC/Product,Healthcare Analytics,Senior Forward Deployed Engineer (AI),Bengaluru,3-6,1-2,3-Hard,Structured product engineering loop; complex healthcare logic,"Python, SQL, Snowflake, AWS, Airflow, Agentic AI, Tool Calling",Greenhouse,5,25-45 LPA,Remote,https://www.komodohealth.com,Open,85%,High,2026-08-19,Remote friendly; matches Healthray internship + agentic tool calling stack
Pearson,GCC,Education Tech,Apprentice Software Engineer (AgentOps),Bengaluru,0-2,0.5-1,3-Hard,AI C4E team standard; AgentOps tool orchestration design,"Python, CrewAI, LangGraph, AutoGen, RAG, Vector Search",Greenhouse,4,15-25 LPA,Hybrid,https://careers.pearson.com,Open,92%,High,2026-08-19,Excellent match; their AgentOps team explicitly builds on LangGraph & CrewAI
Merck,GCC/Pharma,Healthcare/Pharma,AI Engineer (Data & AI Org),Bengaluru,3-6,1-2,3-Hard,Bio-pharma GCC compliance; technical data engineering bar,"Python, LLMs, RAG, Vector DBs, Kubernetes, Docker, AWS",Custom,4-5,25-38 LPA,Hybrid,https://careers.merckgroup.com,Open,80%,High,2026-08-19,Pharma R&D / data optimization focus; matches Healthray domain
